LPA,-0.8658,0.0000,-0.5004,0
RPA,0.8658,0.0000,-0.5004,0
Nz,0.0000,0.9134,-0.4072,0
Fp1,-0.3075,0.9504,-0.0471,0
Fpz,0.0000,0.9998,-0.0210,0
Fp2,0.3075,0.9504,-0.0471,0
AF9,-0.5124,0.7236,-0.4624,0
AF7,-0.5848,0.8081,-0.0701,0
AF5,-0.5053,0.8565,0.1051,0
AF3,-0.3704,0.8959,0.2453,0
AF1,-0.1962,0.9211,0.3364,0
AFz,-0.0000,0.9297,0.3683,0
AF2,0.1951,0.9214,0.3361,0
AF4,0.3704,0.8959,0.2453,0
AF6,0.5053,0.8565,0.1051,0
AF8,0.5843,0.8085,-0.0700,0
AF10,0.5121,0.7241,-0.4621,0
F9,-0.7025,0.5234,-0.4823,0
F7,-0.8050,0.5867,-0.0881,0
F5,-0.7419,0.6357,0.2132,0
F3,-0.5671,0.6771,0.4691,0
F1,-0.3064,0.7049,0.6398,0
Fz,0.0000,0.7146,0.6996,0
F2,0.3062,0.7044,0.6404,0
F4,0.5664,0.6775,0.4693,0
F6,0.7417,0.6356,0.2142,0
F8,0.8045,0.5874,-0.0881,0
F10,0.7025,0.5234,-0.4823,0
FT9,-0.8244,0.2741,-0.4952,0
FT7,-0.9460,0.3083,-0.1001,0
FC5,-0.8970,0.3384,0.2843,0
FC3,-0.6974,0.3642,0.6173,0
FC1,-0.3806,0.3816,0.8423,0
FCz,0.0000,0.3874,0.9219,0
FC2,0.3806,0.3816,0.8423,0
FC4,0.6974,0.3642,0.6173,0
FC6,0.8970,0.3384,0.2843,0
FT8,0.9460,0.3083,-0.1001,0
FT10,0.8244,0.2741,-0.4952,0
T9,-0.8658,0.0000,-0.5004,0
T7,-0.9946,0.0000,-0.1041,0
C5,-0.9510,0.0000,0.3093,0
C3,-0.7432,0.0000,0.6691,0
C1,-0.4063,-0.0000,0.9137,0
Cz,0.0000,0.0000,1.0000,0
C2,0.4072,0.0000,0.9134,0
C4,0.7431,0.0000,0.6691,0
C6,0.9510,0.0000,0.3093,0
T8,0.9946,0.0000,-0.1041,0
T10,0.8658,0.0000,-0.5004,0
TP9,-0.8244,-0.2741,-0.4952,0
TP7,-0.9460,-0.3083,-0.1001,0
CP5,-0.8970,-0.3384,0.2843,0
CP3,-0.6974,-0.3642,0.6173,0
CP1,-0.3806,-0.3816,0.8423,0
CPz,0.0000,-0.3874,0.9219,0
CP2,0.3806,-0.3816,0.8423,0
CP4,0.6974,-0.3642,0.6173,0
CP6,0.8970,-0.3384,0.2843,0
TP8,0.9457,-0.3092,-0.1001,0
TP10,0.8244,-0.2741,-0.4952,0
P9,-0.7025,-0.5234,-0.4823,0
P7,-0.8050,-0.5867,-0.0881,0
P5,-0.7419,-0.6357,0.2132,0
P3,-0.5671,-0.6771,0.4691,0
P1,-0.3064,-0.7049,0.6398,0
Pz,0.0000,-0.7146,0.6996,0
P2,0.3062,-0.7044,0.6404,0
P4,0.5664,-0.6775,0.4693,0
P6,0.7417,-0.6356,0.2142,0
P8,0.8045,-0.5874,-0.0881,0
P10,0.7025,-0.5234,-0.4823,0
PO9,-0.5124,-0.7236,-0.4624,0
PO7,-0.5848,-0.8081,-0.0701,0
PO5,-0.5053,-0.8565,0.1051,0
PO3,-0.3704,-0.8959,0.2453,0
PO1,-0.1962,-0.9211,0.3364,0
POz,0.0000,-0.9297,0.3683,0
PO2,0.1951,-0.9214,0.3361,0
PO4,0.3704,-0.8959,0.2453,0
PO6,0.5053,-0.8565,0.1051,0
PO8,0.5843,-0.8085,-0.0700,0
PO10,0.5121,-0.7241,-0.4621,0
O1,-0.3075,-0.9504,-0.0471,0
Oz,0.0000,-0.9998,-0.0210,0
O2,0.3075,-0.9504,-0.0471,0
I1,-0.2701,-0.8584,-0.4362,0
Iz,-0.0000,-0.9134,-0.4072,0
I2,0.2701,-0.8584,-0.4362,0
AFp9h,-0.4331,0.8633,-0.2591,0
AFp7h,-0.4124,0.9110,-0.0070,0
AFp5h,-0.3152,0.9457,0.0791,0
AFp3h,-0.1982,0.9699,0.1411,0
AFp1h,-0.0670,0.9826,0.1731,0
AFp2h,0.0680,0.9826,0.1731,0
AFp4h,0.1982,0.9699,0.1411,0
AFp6h,0.3152,0.9457,0.0791,0
AFp8h,0.4133,0.9106,-0.0070,0
AFp10h,0.4335,0.8630,-0.2593,0
AFF9h,-0.6734,0.6834,-0.2821,0
AFF7h,-0.6794,0.7324,0.0450,0
AFF5h,-0.5627,0.7809,0.2713,0
AFF3h,-0.3712,0.8165,0.4423,0
AFF1h,-0.1300,0.8360,0.5330,0
AFF2h,0.1290,0.8362,0.5331,0
AFF4h,0.3714,0.8168,0.4414,0
AFF6h,0.5633,0.7805,0.2712,0
AFF8h,0.6788,0.7329,0.0451,0
AFF10h,0.6738,0.6828,-0.2823,0
FFT9h,-0.8479,0.4375,-0.2993,0
FFT7h,-0.8765,0.4743,0.0821,0
FFC5h,-0.7515,0.5134,0.4143,0
FFC3h,-0.5064,0.5434,0.6695,0
FFC1h,-0.1780,0.5601,0.8091,0
FFC2h,0.1780,0.5601,0.8091,0
FFC4h,0.5056,0.5437,0.6699,0
FFC6h,0.7519,0.5136,0.4135,0
FFT8h,0.8765,0.4743,0.0821,0
FFT10h,0.8482,0.4371,-0.2991,0
FTT9h,-0.9393,0.1510,-0.3081,0
FTT7h,-0.9811,0.1642,0.1021,0
FCC5h,-0.8528,0.1792,0.4905,0
