Nz,0.000000,75.748031,-33.645280,1
Iz,0.000000,-69.441198,-17.346268,1
LPA,-54.916186,10.092570,-41.822267,1
RPA,54.916186,10.092570,-41.822267,1
Cz,0.000000,10.254063,60.790926,2
Fpz,0.000000,80.629646,-7.613010,2
AFpz,0.000000,79.558317,5.594721,0
AFz,0.000000,75.467615,18.173105,1
AFFz,0.000000,67.225849,28.556095,0
Fz,0.000000,57.788225,37.891030,2
FFCz,0.000000,46.986892,45.581267,0
FCz,0.000000,35.094818,51.473061,1
FCCz,0.000000,22.869111,56.662238,0
CCPz,0.000000,-2.876246,62.709719,0
CPz,0.000000,-16.128517,62.517095,1
CPPz,0.000000,-28.985893,59.318461,0
Pz,0.000000,-40.590718,52.931060,2
PPOz,0.000000,-50.600840,44.245717,0
POz,0.000000,-58.629673,33.678868,1
POOz,0.000000,-64.524529,21.801636,0
Oz,0.000000,-68.088784,9.020863,2
OIz,0.000000,-69.972746,-4.121333,0
T10h,58.208419,10.114003,-28.203299,0
T8,60.348737,10.135454,-14.573787,2
T8h,59.955031,10.157166,-0.777414,0
C6,58.996239,10.178849,13.000181,1
C6h,56.009791,10.199991,26.434023,0
C4,48.722998,10.218347,38.097738,2
C4h,38.648243,10.233146,47.500689,0
C2,26.645445,10.243829,54.288672,1
C2h,13.651524,10.251101,58.909615,0
C1h,-13.699797,10.251411,59.106500,0
C1,-26.698963,10.244035,54.418945,1
C3h,-38.761274,10.233419,47.674272,0
C3,-48.857636,10.218597,38.256051,2
C5h,-56.100798,10.200162,26.541830,0
C5,-58.799994,10.178880,13.019120,1
T7h,-59.475399,10.157121,-0.805507,0
T7,-59.747302,10.135357,-14.634459,2
T9h,-57.291459,10.113949,-28.237613,0
Fp1h,-9.883331,79.401814,-9.941429,0
Fp1,-19.474909,76.469184,-12.006383,2
AFp7,-28.687175,72.395342,-13.849061,0
AF7,-36.870947,66.453193,-15.226178,1
AFF7,-42.872786,58.185849,-15.798864,0
F7,-47.738799,49.178592,-16.005420,2
FFT7,-51.495046,39.653979,-15.877240,0
FT7,-54.906923,29.994512,-15.648061,1
FTT7,-57.771483,20.166246,-15.263456,0
O1h,-11.307476,-68.283859,6.221627,0
O1,-22.340566,-66.255284,3.242137,2
POO7,-32.498060,-61.470324,0.172798,0
PO7,-41.303287,-54.493958,-2.804273,1
PPO7,-48.138246,-45.499194,-5.515547,0
P7,-52.751478,-35.065034,-7.833523,2
TPP7,-56.086822,-24.091589,-9.893002,0
TP7,-58.560085,-12.861719,-11.766086,1
TTP7,-60.019635,-1.418730,-13.410100,0
Fp2h,10.010377,79.641785,-9.965011,0
Fp2,19.781985,77.035294,-12.077235,2
AFp8,29.068811,72.888982,-13.897981,0
AF8,37.221057,66.745249,-15.216218,1
AFF8,43.621721,58.689398,-15.889710,0
F8,48.541057,49.601025,-16.083319,2
FFT8,52.248058,39.949951,-15.915764,0
FT8,55.807643,30.241940,-15.705578,1
FTT8,58.604311,20.298841,-15.281424,0
O2h,11.241920,-67.896391,6.233902,0
O2,22.250584,-65.894580,3.301939,2
POO8,32.386000,-61.219746,0.285817,0
PO8,40.859906,-53.899990,-2.617411,1
PPO8,47.686649,-44.956077,-5.297109,0
P8,52.372044,-34.628694,-7.604785,2
TPP8,55.901299,-23.788757,-9.685387,0
TP8,58.575083,-12.676476,-11.586007,1
TTP8,60.343339,-1.352914,-13.287508,0
AFp5,-25.110928,75.466410,-5.295496,0
AFp3,-18.804352,77.968672,1.589362,0
AFp1,-9.723785,79.181658,4.776839,0
AFp6,25.759008,75.996309,-5.070905,0
AFp4,19.197720,78.370952,1.775211,0
AFp2,9.892436,79.402246,4.909179,0
AF5,-33.383747,69.959197,-2.076476,1
AF3,-26.010146,72.993621,9.240451,1
AF1,-13.752546,74.739311,15.633129,1
AF6,34.329011,70.296934,-1.800702,1
AF4,26.429807,73.249069,9.431003,1
AF2,13.936144,74.879517,15.753805,1
AFF7h,-41.999780,59.900323,-7.165709,0
AFF5,-40.588629,61.603538,1.394184,0
AFF5h,-37.524637,63.227178,9.501815,0
AFF3,-32.253833,64.631695,16.435431,0
AFF3h,-25.318124,65.732950,21.786601,0
AFF1,-17.331051,66.510021,25.468306,0
AFF1h,-8.792944,67.005003,27.708389,0
AFF8h,42.959860,60.407773,-7.190123,0
AFF6,41.359378,62.094496,1.378199,0
AFF6h,37.826268,63.653988,9.362739,0
AFF4,32.419369,64.989048,16.270739,0
AFF4h,25.406356,66.003640,21.608981,0
AFF2,17.394087,66.700869,25.374684,0
AFF2h,8.844801,67.120654,27.755372,0
F7h,-47.048087,50.766722,-5.828523,0
F5,-46.232423,52.353917,4.338757,1
F5h,-42.939669,53.870359,13.979955,0
F3,-37.197080,55.211066,22.421815,2
F3h,-29.242137,56.250501,28.865190,0
F1,-20.039677,57.009294,33.470495,1
F1h,-10.232786,57.548796,36.650274,0
F8h,48.044382,51.195784,-5.829426,0
F6,46.903824,52.777597,4.359959,1
F6h,43.318343,54.256513,13.959567,0
F4,37.352571,55.534897,22.340579,2
F4h,29.350112,56.512300,28.848121,0
F2,20.170685,57.217118,33.639575,1
F2h,10.317516,57.675449,36.867920,0
FFT7h,-51.025372,40.997681,-4.393261,0
FFC5,-50.484766,42.340802,7.084011,0
FFC5h,-47.603798,43.645484,18.174439,0
FFC3,-41.463681,44.796597,27.870270,0
FFC3h,-32.785624,45.701975,35.400965,0
FFC1,-22.417101,46.325046,40.474534,0
FFC1h,-11.455283,46.783611,44.126020,0
FFT8h,51.890015,41.298318,-4.371338,0
FFC6,51.198741,42.643559,7.154569,0
FFC6h,47.916487,43.922964,18.181453,0
FFC4,41.632340,45.035803,27.857736,0
FFC4h,32.902732,45.894008,35.416128,0
FFC2,22.536869,46.472626,40.623192,0
FFC2h,11.528135,46.871546,44.308833,0
FT7h,-54.654071,30.919874,-3.172318,0
FC5,-53.736545,31.844222,9.269313,1
FC5h,-50.871138,32.748622,21.382157,0
FC3,-44.545685,33.558356,32.111770,1
FC3h,-35.318315,34.197119,40.445909,0
FC1,-24.276309,34.654052,46.271495,1
FC1h,-12.423155,34.971981,50.196946,0
FT8h,55.374274,31.168418,-3.193731,0
FC6,54.281763,32.090528,9.279357,1
FC6h,51.231877,32.981287,21.389585,0
FC4,44.796114,33.760567,32.099706,1
FC4h,35.450838,34.352964,40.377976,0
FC2,24.388140,34.763819,46.259826,1
FC2h,12.458603,35.021463,50.101414,0
FTT7h,-57.603770,20.651279,-2.037703,0
FCC5,-56.454796,21.135860,11.145053,0
FCC5h,-53.528024,21.610883,24.011523,0
FCC3,-46.802835,22.034497,35.357060,0
FCC3h,-37.222776,22.378657,44.446010,0
FCC1,-25.636085,22.624497,50.790298,0
FCC1h,-13.097935,22.793608,55.011758,0
FTT8h,58.258164,20.783761,-2.042727,0
FCC6,56.937514,21.265669,11.144256,0
FCC6h,53.812261,21.732703,23.981918,0
FCC4,46.925207,22.138126,35.256353,0
FCC4h,37.278714,22.458900,44.307919,0
FCC2,25.671202,22.678086,50.649554,0
FCC2h,13.108500,22.818168,54.863171,0
TTP7h,-60.380797,-1.695233,0.690712,0
CCP5,-60.216633,-1.971553,14.797341,0
CCP5h,-57.518955,-2.240000,28.575456,0
