Nz,0.400,85.900,-47.600,1
Iz,0.200,-120.500,-25.800,1
LPA,-83.800,-18.600,-57.200,1
RPA,83.900,-16.600,-56.700,1
Cz,-0.461,-8.416,101.365,2
Fpz,0.181,89.249,-7.826,2
AFpz,0.069,87.717,12.215,0
AFz,-0.040,83.390,31.683,1
AFFz,-0.144,74.974,49.875,0
Fz,-0.235,62.434,65.513,2
FFCz,-0.312,46.899,78.222,0
FCz,-0.371,29.335,87.712,1
FCCz,-0.421,10.765,95.390,0
CCPz,-0.483,-28.307,103.974,0
CPz,-0.485,-48.239,102.848,1
CPPz,-0.455,-67.110,96.112,0
Pz,-0.396,-83.419,84.441,2
PPOz,-0.318,-96.600,69.353,0
POz,-0.226,-106.720,52.115,1
POOz,-0.127,-114.608,33.665,0
Oz,-0.021,-119.520,14.190,2
OIz,0.089,-121.006,-5.823,0
T10h,84.624,-15.395,-36.095,0
T8,84.621,-14.204,-15.575,2
T8h,85.113,-13.005,4.981,0
C6,83.687,-11.831,25.487,1
C6h,79.342,-10.717,45.557,0
C4,69.701,-9.782,63.617,2
C4h,55.612,-9.079,78.585,0
C2,38.717,-8.599,90.282,1
C2h,19.689,-8.369,98.088,0
C1h,-20.873,-8.860,97.846,0
C1,-39.835,-9.543,89.911,1
C3h,-56.639,-10.426,78.110,0
C3,-70.634,-11.463,63.077,2
C5h,-79.957,-12.630,44.864,0
C5,-84.098,-13.846,24.756,1
T7h,-85.404,-15.052,4.239,0
T7,-84.830,-16.239,-16.314,2
T9h,-85.155,-17.430,-36.769,0
Fp1h,-14.723,88.789,-11.220,0
Fp1,-29.230,85.182,-14.189,2
AFp7,-42.615,78.199,-16.543,0
AF7,-54.498,68.788,-18.293,1
AFF7,-63.397,56.392,-19.039,0
F7,-70.550,42.879,-19.263,2
FFT7,-75.968,28.588,-19.004,0
FT7,-79.225,13.769,-18.190,1
FTT7,-82.269,-1.198,-17.312,0
O1h,-15.313,-119.163,10.620,0
O1,-30.194,-115.984,6.847,2
POO7,-43.944,-109.475,2.983,0
PO7,-56.117,-100.316,-0.797,1
PPO7,-66.140,-88.898,-4.318,0
P7,-73.902,-75.644,-7.512,2
TPP7,-79.389,-61.215,-10.304,0
TP7,-84.057,-46.448,-12.942,1
TTP7,-87.623,-31.634,-15.332,0
Fp2h,14.920,88.629,-11.014,0
Fp2,29.184,85.158,-13.797,2
AFp8,42.331,78.297,-15.976,0
AF8,54.021,69.084,-17.587,1
AFF8,62.971,56.963,-18.287,0
F8,70.103,43.768,-18.472,2
FFT8,75.554,29.800,-18.205,0
FT8,78.937,15.204,-17.416,1
FTT8,81.952,0.528,-16.537,0
O2h,15.582,-119.121,10.704,0
O2,30.554,-115.817,7.052,2
POO8,44.465,-109.146,3.280,0
PO8,56.669,-99.838,-0.394,1
PPO8,66.702,-88.163,-3.837,0
P8,74.377,-74.619,-6.956,2
TPP8,79.798,-60.035,-9.687,0
TP8,84.505,-45.070,-12.301,1
TTP8,86.666,-29.825,-14.383,0
AFp5,-34.091,81.620,-6.229,0
AFp3,-24.787,84.788,3.329,0
AFp1,-13.391,87.129,10.402,0
AFp6,33.901,81.674,-5.849,0
AFp4,24.721,84.805,3.536,0
AFp2,13.465,87.104,10.414,0
AF5,-45.336,73.867,-0.879,1
AF3,-35.609,78.819,16.092,1
AF1,-19.609,82.143,27.460,1
AF6,44.965,74.097,-0.349,1
AF4,35.272,78.970,16.408,1
AF2,19.332,82.196,27.530,1
AFF7h,-60.153,59.650,-6.869,0
AFF5,-56.347,62.867,5.138,0
AFF5h,-51.040,65.913,16.492,0
AFF3,-44.480,68.821,27.313,0
AFF3h,-35.639,71.263,36.361,0
AFF1,-24.822,73.133,43.250,0
AFF1h,-12.859,74.475,48.143,0
AFF8h,59.703,60.176,-6.215,0
AFF6,55.843,63.342,5.687,0
AFF6h,50.512,66.330,16.939,0
AFF4,43.946,69.173,27.659,0
AFF4h,35.093,71.531,36.589,0
AFF2,24.281,73.303,43.348,0
AFF2h,12.485,74.553,48.159,0
F7h,-68.536,46.263,-4.366,0
F5,-64.987,49.590,10.244,1
F5h,-59.548,52.776,24.189,0
F3,-51.830,55.753,37.164,2
F3h,-41.762,58.369,48.491,0
F1,-29.480,60.438,57.351,1
F1h,-15.452,61.895,63.473,0
F8h,68.038,47.107,-3.683,0
F6,64.380,50.370,10.803,1
F6h,58.915,53.476,24.639,0
F4,51.167,56.349,37.498,2
F4h,41.093,58.836,48.706,0
F2,28.847,60.759,57.469,1
F2h,14.889,62.059,63.519,0
FFT7h,-74.635,31.719,-1.932,0
FFC5,-72.304,34.818,14.923,0
FFC5h,-66.426,37.778,30.883,0
FFC3,-58.244,40.554,45.750,0
FFC3h,-46.943,42.977,58.568,0
FFC1,-33.046,44.916,68.640,0
FFC1h,-17.372,46.329,75.763,0
FFT8h,74.242,32.900,-1.199,0
FFC6,71.703,35.942,15.530,0
FFC6h,65.664,38.792,31.348,0
FFC4,57.431,41.450,46.201,0
FFC4h,46.033,43.679,58.830,0
FFC2,32.190,45.412,68.838,0
FFC2h,16.566,46.584,75.853,0
FT7h,-78.908,16.392,0.428,0
FC5,-77.435,19.001,18.879,1
FC5h,-72.490,21.549,36.688,0
FC3,-63.100,23.879,52.682,1
FC3h,-50.962,25.976,66.860,0
FC1,-35.971,27.644,77.821,1
FC1h,-18.811,28.813,85.105,0
FT8h,78.574,17.810,1.122,0
FC6,76.997,20.379,19.465,1
FC6h,71.699,22.827,37.174,0
FC4,62.315,24.986,53.080,1
FC4h,50.188,26.867,67.163,0
FC2,35.174,28.261,77.967,1
FC2h,17.991,29.140,85.231,0
FTT7h,-82.630,0.747,2.398,0
FCC5,-81.276,2.703,22.051,0
FCC5h,-76.788,4.642,41.212,0
FCC3,-67.280,6.436,58.396,0
FCC3h,-54.139,8.021,73.087,0
FCC1,-38.088,9.315,84.553,0
FCC1h,-19.904,10.258,92.246,0
FTT8h,82.301,2.488,3.251,0
FCC6,80.908,4.406,22.797,0
FCC6h,76.122,6.235,41.786,0
FCC4,66.383,7.825,58.862,0
FCC4h,53.244,9.134,73.435,0
FCC2,37.198,10.092,84.755,0
FCC2h,18.981,10.663,92.386,0
TTP7h,-86.306,-31.193,5.631,0
CCP5,-84.960,-30.752,26.592,0
CCP5h,-81.397,-30.295,47.238,0
CCP3,-72.036,-29.818,65.923,0
CCP3h,-57.730,-29.362,81.093,0
CCP1,-40.486,-28.942,92.993,0
CCP1h,-21.073,-28.580,100.950,0
TTP8h,85.938,-29.404,6.614,0
CCP6,84.942,-28.987,27.557,0
CCP6h,81.135,-28.609,48.046,0
CCP4,71.538,-28.329,66.603,0
CCP4h,56.965,-28.172,81.671,0
CCP2,39.600,-28.111,93.392,0
CCP2h,20.130,-28.152,101.202,0
TP7h,-83.761,-46.885,7.545,0
CP5,-82.542,-47.309,27.800,1
CP5h,-78.435,-47.700,47.624,0
CP3,-69.286,-48.011,65.668,1
CP3h,-55.921,-48.229,81.020,0
CP1,-39.429,-48.345,92.764,1
CP1h,-20.520,-48.344,100.031,0
TP8h,84.109,-45.512,8.191,0
CP6,82.818,-45.959,28.546,1
CP6h,78.498,-46.421,48.423,0
CP4,69.044,-46.885,66.427,1
CP4h,55.491,-47.322,81.614,0
CP2,38.780,-47.709,93.218,1
CP2h,19.692,-48.018,100.301,0
TPP7h,-78.902,-62.370,8.661,0
CPP5,-77.543,-63.508,27.478,0
CPP5h,-73.325,-64.597,45.833,0
CPP3,-64.664,-65.552,62.557,0
CPP3h,-52.376,-66.331,76.844,0
CPP1,-36.905,-66.856,87.375,0
CPP1h,-19.172,-67.111,93.778,0
TPP8h,79.331,-61.203,9.383,0
CPP6,77.912,-62.369,28.299,0
CPP6h,73.505,-63.527,46.709,0
CPP4,64.597,-64.616,63.414,0
CPP4h,52.049,-65.578,77.602,0
CPP2,36.235,-66.333,87.974,0
CPP2h,18.404,-66.843,94.097,0
P7h,-72.905,-77.146,9.193,0
P5,-70.586,-78.617,25.663,1
P5h,-65.910,-80.024,41.609,0
P3,-57.976,-81.286,56.214,2
P3h,-46.705,-82.308,68.435,0
P1,-32.687,-83.015,77.385,1
P1h,-16.860,-83.376,82.643,0
P8h,73.350,-76.140,9.794,0
P6,71.064,-77.654,26.372,1
P6h,66.270,-79.136,42.386,0
P4,58.143,-80.514,56.992,2
P4h,46.619,-81.692,69.104,0
P2,32.417,-82.593,77.940,1
P2h,16.406,-83.162,82.952,0
PPO7h,-64.557,-90.396,9.412,0
PPO5,-61.606,-91.862,22.917,0
PPO5h,-56.629,-93.250,35.816,0
PPO3,-49.317,-94.481,47.424,0
PPO3h,-39.342,-95.473,56.987,0
PPO1,-27.284,-96.129,63.615,0
PPO1h,-14.002,-96.498,67.690,0
PPO8h,65.048,-89.701,10.075,0
PPO6,62.084,-91.201,23.569,0
PPO6h,56.991,-92.653,36.518,0
PPO4,49.453,-93.982,48.206,0
PPO4h,39.290,-95.084,57.695,0
PPO2,26.938,-95.869,64.167,0
PPO2h,13.496,-96.371,68.020,0
PO7h,-53.765,-101.609,9.556,0
PO5,-50.473,-102.852,19.548,1
PO5h,-45.556,-104.002,28.859,0
PO3,-38.829,-104.992,36.966,1
PO3h,-30.358,-105.747,43.275,0
PO1,-20.890,-106.296,47.981,1
PO1h,-10.744,-106.627,50.988,0
PO8h,54.240,-101.161,10.012,0
PO6,50.889,-102.446,20.087,1
PO6h,45.852,-103.648,29.445,0
PO4,38.983,-104.702,37.553,1
PO4h,30.353,-105.530,43.808,0
PO2,20.720,-106.154,48.397,1
PO2h,10.418,-106.558,51.226,0
POO5,-37.376,-111.630,15.575,0
POO3,-27.233,-113.324,25.590,0
POO1,-14.329,-114.296,31.515,0
POO6,37.769,-111.372,15.946,0
POO4,27.382,-113.157,25.983,0
POO2,14.212,-114.221,31.790,0
I1h,-14.434,-118.875,-29.563,0
I1,-28.049,-114.529,-33.364,1
POO9,-43.152,-106.076,-37.965,0
PO9,-53.962,-96.437,-41.638,1
PPO9,-62.924,-84.975,-45.051,0
P9,-70.676,-72.604,-48.263,1
TPP9,-77.245,-59.646,-51.246,0
TP9,-79.256,-53.446,-52.396,1
AF9,-52.361,60.110,-57.817,1
AFF9,-64.350,51.566,-59.855,0
F9,-73.030,39.495,-60.707,1
FFT9,-78.604,25.657,-60.610,0
FT9,-81.483,11.041,-59.769,1
FTT9,-83.632,-6.414,-58.449,0
I2h,14.908,-118.798,-29.485,0
I2,28.675,-114.314,-33.239,1
POO10,43.886,-105.602,-37.783,0
PO10,54.706,-95.700,-41.405,1
PPO10,63.660,-84.000,-44.773,0
P10,71.426,-71.423,-47.949,1
TPP10,78.030,-58.266,-50.910,0
TP10,80.057,-51.861,-52.068,1
AF10,51.980,60.229,-57.189,1
AFF10,63.816,51.912,-59.133,0
F10,72.597,40.266,-59.999,1
FFT10,78.287,26.789,-59.935,0
FT10,81.287,12.491,-59.143,1
FTT10,83.408,-4.622,-57.845,0
OI1h,-14.834,-120.188,-9.421,0
OI1,-31.868,-115.353,-13.938,0
POO9h,-44.617,-107.744,-17.738,0
PO9h,-55.949,-98.123,-21.416,0
PPO9h,-65.352,-86.533,-24.847,0
P9h,-73.118,-73.780,-28.015,0
TPP9h,-77.899,-60.455,-30.540,0
AFF9h,-62.826,54.038,-39.023,0
F9h,-71.147,41.230,-39.636,0
FFT9h,-77.974,27.617,-39.812,0
FT9h,-80.831,12.648,-38.912,0
FTT9h,-81.992,-2.539,-37.589,0
OI2h,15.195,-120.205,-9.342,0
OI2,32.397,-115.132,-13.784,0
POO10h,45.255,-107.352,-17.522,0
PO10h,56.648,-97.529,-21.140,0
PPO10h,66.029,-85.694,-24.512,0
P10h,73.746,-72.707,-27.625,0
TPP10h,78.328,-59.123,-30.089,0
AFF10h,62.594,54.863,-38.437,0
F10h,70.573,42.152,-38.921,0
FFT10h,77.521,28.883,-39.113,0
FT10h,80.590,14.229,-38.278,0
FTT10h,81.950,-0.678,-37.027,0
